"longitude","latitude","sst_celsius"
7.8,43.4,13.6
7.8,43.4,14.5
7.8,43.4,14.8
7.8,43.4,15
7.8,43.4,15.1
7.8,43.4,15.1
7.8,43.4,15
7.8,43.4,15.2
7.8,43.4,14.9
7.8,43.4,14.7
7.8,43.4,15.3
7.8,43.4,15.2
7.8,43.4,15
7.8,43.4,15.2
7.8,43.4,15.2
7.8,43.4,15.3
7.8,43.4,15.2
7.8,43.4,15.2
7.8,43.4,15.2
7.8,43.4,14.6
7.8,43.4,15
7.8,43.4,14.7
7.8,43.4,14.9
7.8,43.4,14.9
7.8,43.4,14.8
7.8,43.4,15
7.8,43.4,15.1
